"By administrative divisions(eup, myeon, dong)","Item","UNIT","2015 Year","2016 Year","2017 Year","2018 Year","2019 Year","2020 Year","2021 Year",
"Cheongyang-gun","Housing units-Total[Housing]","Housing","13815","13761","13959","14016","13995","14062","14181",
"Cheongyang-gun","Detached dwelling[Housing]","Housing","11348","11281","11451","11472","11397","11426","11469",
"Cheongyang-gun","Apartment[Housing]","Housing","1612","1612","1617","1617","1650","1675","1739",
"Cheongyang-gun","Row house[Housing]","Housing","244","244","245","269","295","295","300",
"Cheongyang-gun","Apartment unit ina private house[Housing]","Housing","428","452","468","478","477","491","490",
"Cheongyang-gun","House within commercial building[Housing]","Housing","183","172","178","180","176","175","183",
"Cheongyang-gun","Living quaters other than housing unit[Housing]","Housing","353","408","458","484","486","495","541",
"Hongseong-gun","Total population[Person]","Person","94114","100739","103048","103044","102791","102757","101618",
"Hongseong-gun","Male[Person]","Person","47283","50375","51438","51478","51530","51604","50955",
"Hongseong-gun","Female[Person]","Person","46831","50364","51610","51566","51261","51153","50663",
"Hongseong-gun","Korean - total[Person]","Person","91971","98267","100311","99880","99198","99259","98266",
"Hongseong-gun","Korean - male[Person]","Person","45869","48742","49644","49379","49116","49338","48803",
"Hongseong-gun","Korean - Female[Person]","Person","46102","49525","50667","50501","50082","49921","49463",
"Hongseong-gun","Foreigner-Total[Person]","Person","2143","2472","2737","3164","3593","3498","3352",
"Hongseong-gun","Foreigner-Male[Person]","Person","1414","1633","1794","2099","2414","2266","2152",
"Hongseong-gun","Foreigner-Female[Person]","Person","729","839","943","1065","1179","1232","1200",
"Hongseong-gun","Household-Total[households]","households","37530","40857","42463","42564","43075","44090","44633",
"Hongseong-gun","Type of occupancy[households]","households","36907","40135","41692","41721","42235","43192","43690",
"Hongseong-gun","Institutional households[households]","households","41","41","57","49","51","56","52",
"Hongseong-gun","Foreigner household[households]","households","582","681","714","794","789","842","891",
"Hongseong-gun","Housing units-Total[Housing]","Housing","37931","42199","43504","43509","43617","43472","43429",
"Hongseong-gun","Detached dwelling[Housing]","Housing","19991","19906","20231","20212","20271","20074","20000",
"Hongseong-gun","Apartment[Housing]","Housing","14341","18696","19644","19685","19686","19690","19696",
"Hongseong-gun","Row house[Housing]","Housing","822","822","822","822","823","828","852",
"Hongseong-gun","Apartment unit ina private house[Housing]","Housing","1964","2002","2027","2029","2054","2089","2094",
"Hongseong-gun","House within commercial building[Housing]","Housing","813","773","780","761","783","791","787",
"Hongseong-gun","Living quaters other than housing unit[Housing]","Housing","1184","1278","1454","1564","1665","1674","1734",
"Yesan-gun","Total population[Person]","Person","81747","79425","78678","79136","78963","77838","76490",
"Yesan-gun","Male[Person]","Person","41150","40161","39916","40273","40300","39641","38853",
"Yesan-gun","Female[Person]","Person","40597","39264","38762","38863","38663","38197","37637",
"Yesan-gun","Korean - total[Person]","Person","79512","76935","75910","76004","75571","74708","73448",
"Yesan-gun","Korean - male[Person]","Person","39737","38524","38073","38170","37989","37569","36855",
"Yesan-gun","Korean - Female[Person]","Person","39775","38411","37837","37834","37582","37139","36593",
"Yesan-gun","Foreigner-Total[Person]","Person","2235","2490","2768","3132","3392","3130","3042",
"Yesan-gun","Foreigner-Male[Person]","Person","1413","1637","1843","2103","2311","2072","1998",
"Yesan-gun","Foreigner-Female[Person]","Person","822","853","925","1029","1081","1058","1044",
"Yesan-gun","Household-Total[households]","households","33249","32545","32726","33392","33702","34488","34933",
"Yesan-gun","Type of occupancy[households]","households","32695","31878","32014","32641","32933","33675","34083",
"Yesan-gun","Institutional households[households]","households","54","41","57","65","61","63","55",
"Yesan-gun","Foreigner household[households]","households","500","626","655","686","708","750","795",
"Yesan-gun","Housing units-Total[Housing]","Housing","33809","33502","34356","35389","35439","36369","36286",
"Yesan-gun","Detached dwelling[Housing]","Housing","20940","20645","20852","20764","20642","20694","20597",
"Yesan-gun","Apartment[Housing]","Housing","8935","8811","9388","10467","10484","11337","11337",
"Yesan-gun","Row house[Housing]","Housing","1323","1304","1300","1300","1393","1393","1392",
"Yesan-gun","Apartment unit ina private house[Housing]","Housing","2130","2250","2301","2333","2394","2396","2412",
"Yesan-gun","House within commercial building[Housing]","Housing","481","492","515","525","526","549","548",
"Yesan-gun","Living quaters other than housing unit[Housing]","Housing","775","903","956","1117","1194","1254","1279",
"Taean-gun","Total population[Person]","Person","59723","60641","61170","60948","60896","60901","60285",
"Taean-gun","Male[Person]","Person","30333","30960","31411","31253","31367","31266","31042",
"Taean-gun","Female[Person]","Person","29390","29681","29759","29695","29529","29635","29243",
"Taean-gun","Korean - total[Person]","Person","58349","59202","59603","59188","58929","58969","58323",
"Taean-gun","Korean - male[Person]","Person","29386","29941","30291","30031","29988","29912","29681",
"Taean-gun","Korean - Female[Person]","Person","28963","29261","29312","29157","28941","29057","28642",
"Taean-gun","Foreigner-Total[Person]","Person","1374","1439","1567","1760","1967","1932","1962",
"Taean-gun","Foreigner-Male[Person]","Person","947","1019","1120","1222","1379","1354","1361",
"Taean-gun","Foreigner-Female[Person]","Person","427","420","447","538","588","578","601",
"Taean-gun","Household-Total[households]","households","25280","25712","26472","26874","27379","28521","28868",
"Taean-gun","Type of occupancy[households]","households","24849","25260","25989","26406","26887","28003","28358",
"Taean-gun","Institutional households[households]","households","27","22","33","31","27","28","30",
"Taean-gun","Foreigner household[households]","households","404","430","450","437","465","490","480",
"Taean-gun","Housing units-Total[Housing]","Housing","25837","26198","26569","27478","28249","28832","29132",
"Taean-gun","Detached dwelling[Housing]","Housing","16209","16406","16707","16996","17205","17409","17632",
"Taean-gun","Apartment[Housing]","Housing","6394","6425","6428","6857","7350","7543","7543",
"Taean-gun","Row house[Housing]","Housing","1043","1016","1016","1016","1011","1078","1078",
"Taean-gun","Apartment unit ina private house[Housing]","Housing","1647","1810","1864","2044","2107","2203","2274",
"Taean-gun","House within commercial building[Housing]","Housing","544","541","554","565","576","599","605",
"Taean-gun","Living quaters other than housing unit[Housing]","Housing","779","872","1014","1028","1014","1050","1069",
"Jeollabuk-do","Total population[Person]","Person","1834114","1833168","1826174","1818157","1807423","1802766","1787053",
"Jeollabuk-do","Male[Person]","Person","915729","915493","911592","907683","902704","899058","891295",
"Jeollabuk-do","Female[Person]","Person","918385","917675","914582","910474","904719","903708","895758",
"Jeollabuk-do","Korean - total[Person]","Person","1804184","1801619","1792410","1779026","1763463","1760400","1746006",
"Jeollabuk-do","Korean - male[Person]","Person","899308","898232","893346","886532","878627","876451","869614",
"Jeollabuk-do","Korean - Female[Person]","Person","904876","903387","899064","892494","884836","883949","876392",
"Jeollabuk-do","Foreigner-Total[Person]","Person","29930","31549","33764","39131","43960","42366","41047",
"Jeollabuk-do","Foreigner-Male[Person]","Person","16421","17261","18246","21151","24077","22607","21681",
"Jeollabuk-do","Foreigner-Female[Person]","Person","13509","14288","15518","17980","19883","19759","19366",
"Jeollabuk-do","Household-Total[households]","households","726572","734037","738801","743341","749586","767803","785218",
"Jeollabuk-do","Type of occupancy[households]","households","717311","724678","728871","732980","738307","755575","772471",
"Jeollabuk-do","Institutional households[households]","households","834","602","672","711","716","708","734",
"Jeollabuk-do","Foreigner household[households]","households","8427","8757","9258","9650","10563","11520","12013",
"Jeollabuk-do","Housing units-Total[Housing]","Housing","687103","692563","698264","712850","724524","741221","747880",
"Jeollabuk-do","Detached dwelling[Housing]","Housing","282928","282433","283061","282342","281271","280952","279616",
"Jeollabuk-do","Apartment[Housing]","Housing","364712","370071","374491","389225","401005","416861","424658",
"Jeollabuk-do","Row house[Housing]","Housing","14980","15393","15602","15941","16556","17450","17604",
"Jeollabuk-do","Apartment unit ina private house[Housing]","Housing","14153","14321","14517","14723","14999","15130","15142",
"Jeollabuk-do","House within commercial building[Housing]","Housing","10330","10345","10593","10619","10693","10828","10860",
"Jeollabuk-do","Living quaters other than housing unit[Housing]","Housing","13926","15342","16629","17175","17145","18287","19505",
"Total for eups","Total population[Person]","Person","156255","157965","159280","158711","156875","157265","155086",
"Total for eups","Male[Person]","Person","78402","79408","79965","79872","78890","79177","78039",
"Total for eups","Female[Person]","Person","77853","78557","79315","78839","77985","78088","77047",
"Total for eups","Korean - total[Person]","Person","152731","154259","155241","153766","151177","152037","149947",
"Total for eups","Korean - male[Person]","Person","76508","77431","77819","77233","75787","76377","75311",
"Total for eups","Korean - Female[Person]","Person","76223","76828","77422","76533","75390","75660","74636",
"Total for eups","Foreigner-Total[Person]","Person","3524","3706","4039","4945","5698","5228","5139",
"Total for eups","Foreigner-Male[Person]","Person","1894","1977","2146","2639","3103","2800","2728",
"Total for eups","Foreigner-Female[Person]","Person","1630","1729","1893","2306","2595","2428","2411",
"Total for eups","Household-Total[households]","households","60971","62407","63375","63803","63766","65653","67084",
"Total for eups","Type of occupancy[households]","households","59902","61331","62232","62597","62458","64239","65606",
"Total for eups","Institutional households[households]","households","105","78","90","96","99","93","99",
"Total for eups","Foreigner household[households]","households","964","998","1053","1110","1209","1321","1379",
"Total for eups","Housing units-Total[Housing]","Housing","58464","59699","60837","61786","62877","65253","65785",
"Total for eups","Detached dwelling[Housing]","Housing","29544","30180","30399","30265","30172","30134","29966",
"Total for eups","Apartment[Housing]","Housing","24615","25071","25796","26684","27530","29598","30240",
"Total for eups","Row house[Housing]","Housing","2004","2125","2254","2426","2701","2997","3029",
