"By administrative divisions","By age ","Item","UNIT","1960 Year","1966 Year","1970 Year","1975 Year","1980 Year","1985 Year","1990 Year","1995 Year","2000 Year","2005 Year","2010 Year",
"Chungcheongbuk-do","45-49 Years old","Sex ratio","","100.11","96.62","91.57","82.24","89.26","98.03","96.69","106.01","105.91","106.61","106.3",
"Chungcheongbuk-do","50-54 Years old","Population[Person]","Person","53062","56094","55423","58116","57917","69475","76077","66717","65693","88362","117176",
"Chungcheongbuk-do","50-54 Years old","Male[Person]","Person","26870","28131","27301","27738","26000","32354","37358","32419","33317","44909","59622",
"Chungcheongbuk-do","50-54 Years old","Female[Person]","Person","26192","27963","28122","30378","31917","37121","38719","34298","32376","43453","57554",
"Chungcheongbuk-do","50-54 Years old","Sex ratio","","102.59","100.6","97.08","91.31","81.46","87.16","96.48","94.52","102.91","103.35","103.6",
"Chungcheongbuk-do","55-59 Years old","Population[Person]","Person","39790","46999","48695","50167","52359","53613","65430","71952","65401","64762","87616",
"Chungcheongbuk-do","55-59 Years old","Male[Person]","Person","19769","23007","24252","24478","24617","23727","29921","34398","30982","32402","43670",
"Chungcheongbuk-do","55-59 Years old","Female[Person]","Person","20021","23992","24443","25689","27742","29886","35509","37554","34419","32360","43946",
"Chungcheongbuk-do","55-59 Years old","Sex ratio","","98.74","95.89","99.22","95.29","88.74","79.39","84.26","91.6","90.01","100.13","99.4",
"Chungcheongbuk-do","60-64 Years old","Population[Person]","Person","33247","32551","38186","40646","41931","45449","48447","60059","69132","63320","64533",
"Chungcheongbuk-do","60-64 Years old","Male[Person]","Person","15854","15519","18341","19643","19837","20587","20903","26585","32136","29355","31528",
"Chungcheongbuk-do","60-64 Years old","Female[Person]","Person","17393","17032","19845","21003","22094","24862","27544","33474","36996","33965","33005",
"Chungcheongbuk-do","60-64 Years old","Sex ratio","","91.15","91.12","92.42","93.52","89.78","82.81","75.89","79.42","86.86","86.43","95.5",
"Chungcheongbuk-do","65-69 Years old","Population[Person]","Person","23387","25302","24972","30454","32588","34963","39483","43235","56339","65084","62552",
"Chungcheongbuk-do","65-69 Years old","Male[Person]","Person","11007","11425","11482","13905","14973","15796","17207","17782","23885","29036","28168",
"Chungcheongbuk-do","65-69 Years old","Female[Person]","Person","12380","13877","13490","16549","17615","19167","22276","25453","32454","36048","34384",
"Chungcheongbuk-do","65-69 Years old","Sex ratio","","88.91","82.33","85.11","84.02","85","82.41","77.24","69.86","73.6","80.55","81.9",
"Chungcheongbuk-do","70-74 Years old","Population[Person]","Person","17002","14972","16841","18131","22368","24976","28039","32686","38344","51217","61304",
"Chungcheongbuk-do","70-74 Years old","Male[Person]","Person","7500","6477","7140","7747","9468","10604","11880","13434","14840","20799","26313",
"Chungcheongbuk-do","70-74 Years old","Female[Person]","Person","9502","8495","9701","10384","12900","14372","16159","19252","23504","30418","34991",
"Chungcheongbuk-do","70-74 Years old","Sex ratio","","78.93","76.24","73.6","74.61","73.4","73.78","73.52","69.78","63.14","68.38","75.2",
"Chungcheongbuk-do","75-79 Years old","Population[Person]","Person","9442","9532","9433","10535","11922","15340","18035","20845","25909","31319","44818",
"Chungcheongbuk-do","75-79 Years old","Male[Person]","Person","4204","3761","3729","3972","4483","5797","6962","8038","9781","11250","16754",
"Chungcheongbuk-do","75-79 Years old","Female[Person]","Person","5238","5771","5704","6563","7439","9543","11073","12807","16128","20069","28064",
"Chungcheongbuk-do","75-79 Years old","Sex ratio","","80.26","65.17","65.38","60.52","60.26","60.75","62.87","62.76","60.65","56.06","59.7",
"Chungcheongbuk-do","80-84 Years old","Population[Person]","Person","4146","3680","4451","4783","5707","6574","9280","11251","13491","17994","24413",
"Chungcheongbuk-do","80-84 Years old","Male[Person]","Person","1749","1426","1570","1621","1848","2091","2966","3714","4547","6162","7750",
"Chungcheongbuk-do","80-84 Years old","Female[Person]","Person","2397","2254","2881","3162","3859","4483","6314","7537","8944","11832","16663",
"Chungcheongbuk-do","80-84 Years old","Sex ratio","","72.97","63.27","54.49","51.27","47.89","46.64","46.97","49.28","50.84","52.08","46.5",
"Chungcheongbuk-do","85 Years old & over","Population[Person]","Person","1409","1415","1578","2165","2483","3042","4065","5775","7709","9966","14872",
"Chungcheongbuk-do","85 Years old & over","Male[Person]","Person","537","481","537","650","672","717","1000","1483","2087","2736","4111",
"Chungcheongbuk-do","85 Years old & over","Female[Person]","Person","872","934","1041","1515","1811","2325","3065","4292","5622","7230","10761",
"Chungcheongbuk-do","85 Years old & over","Sex ratio","","61.58","51.5","51.59","42.9","37.11","30.84","32.63","34.55","37.12","37.84","38.2",
"Chungcheongbuk-do","Age unknown","Population[Person]","Person","1060","5","","","","","5","104","0","0","",
"Chungcheongbuk-do","Age unknown","Male[Person]","Person","550","5","","","","","3","28","0","0","",
"Chungcheongbuk-do","Age unknown","Female[Person]","Person","510","","","","","","2","76","0","0","",
"Chungcheongbuk-do","Age unknown","Sex ratio","","107.84","0","","","","","150","36.84","0","0","",
"Chungcheongbuk-do","14 and under","Population[Person]","Person","","","","","","","","314859","304774","278969","246902",
"Chungcheongbuk-do","14 and under","Male[Person]","Person","","","","","","","","164609","160843","146477","128225",
"Chungcheongbuk-do","14 and under","Female[Person]","Person","","","","","","","","150250","143931","132492","118677",
"Chungcheongbuk-do","14 and under","Sex ratio","","","","","","","","","109.56","111.75","110.56","108",
"Chungcheongbuk-do","15 - 64 Years old","Population[Person]","Person","","","","","","","","966705","1016055","999323","1041123",
"Chungcheongbuk-do","15 - 64 Years old","Male[Person]","Person","","","","","","","","490354","518213","513624","537301",
"Chungcheongbuk-do","15 - 64 Years old","Female[Person]","Person","","","","","","","","476351","497842","485699","503822",
"Chungcheongbuk-do","15 - 64 Years old","Sex ratio","","","","","","","","","102.94","104.09","105.75","106.6",
"Chungcheongbuk-do","65 Years old","Population[Person]","Person","","","","","","","","113792","141792","175580","207959",
"Chungcheongbuk-do","65 Years old","Male[Person]","Person","","","","","","","","44451","55140","69983","83096",
"Chungcheongbuk-do","65 Years old","Female[Person]","Person","","","","","","","","69341","86652","105597","124863",
"Chungcheongbuk-do","65 Years old","Sex ratio","","","","","","","","","64.1","63.63","66.27","66.5",
"Chungcheongbuk-do","Mean age","Population[Person]","Person","","","","","","","","","34.3","36.7","39",
"Chungcheongbuk-do","Mean age","Male[Person]","Person","","","","","","","","","32.9","35.23","37.5",
"Chungcheongbuk-do","Mean age","Female[Person]","Person","","","","","","","","","35.7","38.17","40.5",
"Chungcheongbuk-do","Mean age","Sex ratio","","","","","","","","","","","0","",
"Chungcheongbuk-do","Median age","Population[Person]","Person","","","","","","","","","32.7","35.93","39",
"Chungcheongbuk-do","Median age","Male[Person]","Person","","","","","","","","","31.5","34.57","37.5",
"Chungcheongbuk-do","Median age","Female[Person]","Person","","","","","","","","","34","37.31","40.5",
"Chungcheongbuk-do","Median age","Sex ratio","","","","","","","","","","","0","",
"Chungcheongnam-do","Total","Population[Person]","Person","2528133","2902941","2858202","2947023","2954662","2999837","2013270","1765021","1840410","1879417","2000473",
"Chungcheongnam-do","Total","Male[Person]","Person","1277634","1473427","1444541","1498981","1491851","1511260","1020993","887427","924986","945540","1007454",
"Chungcheongnam-do","Total","Female[Person]","Person","1250499","1429514","1413661","1448042","1462811","1488577","992277","877594","915424","933877","993019",
"Chungcheongnam-do","Total","Sex ratio","","102.17","103.07","102.18","103.52","101.99","101.52","102.89","101.12","101.04","101.25","101.5",
"Chungcheongnam-do","0-4 Years old","Population[Person]","Person","369422","461308","392372","355821","290970","254428","122201","111979","121946","95725","97608",
"Chungcheongnam-do","0-4 Years old","Male[Person]","Person","189443","238890","202598","184462","150346","131895","63800","59181","63928","49547","50210",
"Chungcheongnam-do","0-4 Years old","Female[Person]","Person","179979","222418","189774","171359","140624","122533","58401","52798","58018","46178","47398",
"Chungcheongnam-do","0-4 Years old","Sex ratio","","105.26","107.41","106.76","107.65","106.91","107.64","109.24","112.09","110.19","107.3","105.9",
"Chungcheongnam-do","5-9 Years old","Population[Person]","Person","387420","480754","450119","391881","363642","297293","168769","112019","128497","125012","101178",
"Chungcheongnam-do","5-9 Years old","Male[Person]","Person","200750","249107","233247","202465","187826","152688","86547","58116","68137","64877","52389",
"Chungcheongnam-do","5-9 Years old","Female[Person]","Person","186670","231647","216872","189416","175816","144605","82222","53903","60360","60135","48789",
"Chungcheongnam-do","5-9 Years old","Sex ratio","","107.54","107.54","107.55","106.89","106.83","105.59","105.26","107.82","112.88","107.89","107.4",
"Chungcheongnam-do","10-14 Years old","Population[Person]","Person","302199","365973","430526","428940","382723","362598","200167","149457","117363","127595","129040",
"Chungcheongnam-do","10-14 Years old","Male[Person]","Person","159466","190720","224272","223292","197318","186507","100996","76006","61106","67146","66920",
"Chungcheongnam-do","10-14 Years old","Female[Person]","Person","142733","175253","206254","205648","185405","176091","99171","73451","56257","60449","62120",
"Chungcheongnam-do","10-14 Years old","Sex ratio","","111.72","108.83","108.74","108.58","106.43","105.92","101.84","103.48","108.62","111.08","107.7",
"Chungcheongnam-do","15-19 Years old","Population[Person]","Person","233526","260497","250504","336356","345812","348043","233321","165556","150458","127612","145024",
"Chungcheongnam-do","15-19 Years old","Male[Person]","Person","124405","138775","132642","179106","182929","179476","119139","85324","78225","65600","75768",
"Chungcheongnam-do","15-19 Years old","Female[Person]","Person","109121","121722","117862","157250","162883","168567","114182","80232","72233","62012","69256",
"Chungcheongnam-do","15-19 Years old","Sex ratio","","114.01","114.01","112.54","113.9","112.31","106.47","104.34","106.35","108.3","105.79","109.4",
"Chungcheongnam-do","20-24 Years old","Population[Person]","Person","220581","213429","200294","238693","283690","298009","197705","157717","142723","140797","130476",
"Chungcheongnam-do","20-24 Years old","Male[Person]","Person","116729","117058","110518","134084","157202","170306","119485","93160","80858","77245","69426",
"Chungcheongnam-do","20-24 Years old","Female[Person]","Person","103852","96371","89776","104609","126488","127703","78220","64557","61865","63552","61050",
"Chungcheongnam-do","20-24 Years old","Sex ratio","","112.4","121.47","123.1","128.18","124.28","133.36","152.76","144.31","130.7","121.55","113.7",
"Chungcheongnam-do","25-29 Years old","Population[Person]","Person","191845","201043","165578","178148","194843","245725","154036","122187","137264","126318","132577",
"Chungcheongnam-do","25-29 Years old","Male[Person]","Person","94233","100979","82494","93756","98117","123937","81420","64369","72322","69553","73891",
"Chungcheongnam-do","25-29 Years old","Female[Person]","Person","97612","100064","83084","84392","96726","121788","72616","57818","64942","56765","58686",
"Chungcheongnam-do","25-29 Years old","Sex ratio","","96.54","100.91","99.29","111.1","101.44","101.76","112.12","111.33","111.36","122.53","125.9",
"Chungcheongnam-do","30-34 Years old","Population[Person]","Person","147084","188569","180050","158846","167664","192883","149853","132310","138109","142763","141500",
"Chungcheongnam-do","30-34 Years old","Male[Person]","Person","69399","93393","88709","79284","85902","97107","77462","67759","71619","74256","75275",
"Chungcheongnam-do","30-34 Years old","Female[Person]","Person","77685","95176","91341","79562","81762","95776","72391","64551","66490","68507","66225",
"Chungcheongnam-do","30-34 Years old","Sex ratio","","89.33","98.13","97.12","99.65","105.06","101.39","107.01","104.97","107.71","108.39","113.7",
"Chungcheongnam-do","35-39 Years old","Population[Person]","Person","135752","146895","167623","175761","156794","170263","122808","136841","146897","144404","155044",
"Chungcheongnam-do","35-39 Years old","Male[Person]","Person","65122","69425","81265","86933","77634","87459","63558","70255","76164","75181","80945",
"Chungcheongnam-do","35-39 Years old","Female[Person]","Person","70630","77470","86358","88828","79160","82804","59250","66586","70733","69223","74099",
"Chungcheongnam-do","35-39 Years old","Sex ratio","","92.2","89.62","94.1","97.87","98.07","105.62","107.27","105.51","107.68","108.61","109.2",
"Chungcheongnam-do","40-44 Years old","Population[Person]","Person","116810","131017","133901","159420","169113","153771","106668","108412","140225","147895","153553",
